woman_id,age,myth_injection_causes_infertility,myth_contraceptives_cause_health_problems,myth_contraceptives_harm_womb,myth_contraceptives_reduce_sexual_urge,myth_contraceptives_cause_cancer,myth_contraceptives_cause_deformed_babies,myth_contraceptives_are_dangerous
1306,48.0,,,,,,,
1307,45.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1308,17.0,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree
1309,35.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1310,17.0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
1311,22.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1312,18.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree
1313,44.0,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree
1314,17.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1315,18.0,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
1316,31.0,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree
1317,36.0,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1318,27.0,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,
1319,36.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
1320,26.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree
1321,28.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1322,40.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1323,19.0,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1324,22.0,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1325,40.0,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
1326,38.0,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1327,32.0,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree
1328,18.0,,,,,,,
1329,21.0,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree
1330,17.0,,,,,,,
1331,26.0,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
1332,17.0,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1333,15.0,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1334,18.0,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1335,33.0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
1336,17.0,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1337,45.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1338,35.0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
1339,21.0,,,,,,,
1340,36.0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree
1341,38.0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1342,15.0,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree
1343,40.0,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1344,44.0,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree
1345,20.0,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree
1346,17.0,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
1347,43.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1348,20.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1349,38.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1350,38.0,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree
1351,25.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1352,24.0,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree
1353,38.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1354,25.0,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree
1355,34.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1356,36.0,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree
1357,21.0,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1358,20.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
1359,32.0,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree
1360,46.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1361,42.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1362,19.0,,,,,,,
1363,15.0,,,,,,,
1364,26.0,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree
1365,27.0,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree
1366,15.0,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
1367,47.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1368,30.0,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree
1369,16.0,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
1370,35.0,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1371,22.0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
1372,37.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
1373,27.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1374,,,,,,,,
1375,32.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1376,16.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1377,48.0,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree
1378,27.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
1379,32.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
1380,15.0,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree
1381,32.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
1382,17.0,,,,,,,
1383,28.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1384,24.0,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
1390,25.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree
1394,22.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1395,29.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1396,30.0,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree
1397,40.0,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
1398,16.0,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree
1399,21.0,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
1400,23.0,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1401,21.0,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
1402,20.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree
1403,25.0,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
1404,38.0,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree
1405,29.0,Strongly Disagree,Strongly Agree,Agree,D/K,Agree,Strongly Agree,Strongly Agree
1406,23.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree
1407,41.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1408,24.0,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree
1409,22.0,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
1411,22.0,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
1412,22.0,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
1413,20.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1414,15.0,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
1416,20.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1417,34.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1418,22.0,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
1419,24.0,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree
1420,31.0,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
